"date","ymd","CalaverasReservoir","F2","F3E","F3W","F4","F6","ReadyMix","SanAntonioReservoir"
2010-12-09,"20101209",698.6,-999,-999,-999,-999,-999,-999,461.7
2010-12-10,"20101210",698.7,-999,-999,-999,-999,-999,-999,461.7
2010-12-11,"20101211",698.7,-999,-999,-999,-999,-999,-999,461.7
2010-12-12,"20101212",698.8,-999,-999,-999,-999,-999,-999,461.7
2010-12-13,"20101213",698.8,-999,-999,-999,-999,-999,-999,461.7
2010-12-14,"20101214",698.9,-999,-999,-999,-999,-999,-999,461.7
2010-12-15,"20101215",698.9,-999,-999,-999,-999,-999,-999,461.7
2010-12-16,"20101216",699,-999,-999,-999,-999,-999,-999,461.7
2010-12-17,"20101217",699,-999,-999,-999,-999,-999,-999,461.7
2010-12-18,"20101218",699.1,-999,-999,-999,-999,-999,-999,461.6
2010-12-19,"20101219",700,-999,-999,-999,-999,-999,-999,461.4
2010-12-20,"20101220",702.2,-999,-999,-999,-999,-999,-999,461.6
2010-12-21,"20101221",702.6,-999,-999,-999,-999,-999,-999,461.6
2010-12-22,"20101222",703.1,-999,-999,-999,-999,-999,-999,461.3
2010-12-23,"20101223",703.5,-999,-999,-999,-999,-999,-999,461.2
2010-12-24,"20101224",703.8,-999,-999,-999,-999,-999,-999,461.1
2010-12-25,"20101225",704,-999,-999,-999,-999,-999,-999,461
2010-12-26,"20101226",704.3,-999,-999,-999,-999,-999,-999,460.8
2010-12-27,"20101227",704.9,-999,-999,-999,-999,-999,-999,460.6
2010-12-28,"20101228",704.9,-999,-999,-999,-999,-999,-999,460.6
2010-12-29,"20101229",706.5,-999,-999,-999,-999,-999,-999,460.8
2010-12-30,"20101230",708.5,-999,-999,-999,-999,-999,-999,460.9
2010-12-31,"20101231",709,-999,-999,-999,-999,-999,-999,461
2011-01-01,"20110101",709.2,-999,-999,-999,-999,-999,-999,460.9
2011-01-02,"20110102",709.4,-999,-999,-999,-999,-999,-999,461.1
2011-01-03,"20110103",709.8,-999,-999,-999,-999,-999,-999,461.2
2011-01-04,"20110104",709.9,-999,-999,-999,-999,-999,-999,461.2
2011-01-05,"20110105",710,-999,-999,-999,-999,-999,-999,461.2
2011-01-06,"20110106",710.3,-999,-999,-999,-999,-999,-999,461.2
2011-01-07,"20110107",710.4,-999,-999,-999,-999,-999,-999,461.2
2011-01-08,"20110108",710.5,-999,-999,-999,-999,-999,-999,461.2
2011-01-09,"20110109",710.5,-999,-999,-999,-999,-999,-999,461.2
2011-01-10,"20110110",710.3,-999,-999,-999,-999,-999,-999,461.2
2011-01-11,"20110111",710.1,-999,-999,-999,-999,-999,-999,461.3
2011-01-12,"20110112",709.9,-999,-999,-999,-999,-999,-999,461.3
2011-01-13,"20110113",709.9,-999,-999,-999,-999,-999,-999,461.3
2011-01-14,"20110114",709.8,-999,-999,-999,-999,-999,-999,461.2
2011-01-15,"20110115",709.8,-999,-999,-999,-999,-999,-999,461.3
2011-01-16,"20110116",709.7,-999,-999,-999,-999,-999,-999,461.3
2011-01-17,"20110117",709.6,-999,-999,-999,-999,-999,-999,461.3
2011-01-18,"20110118",709.4,-999,-999,-999,-999,-999,-999,461.3
2011-01-19,"20110119",709.3,-999,-999,-999,-999,-999,-999,461.4
2011-01-20,"20110120",709.2,-999,-999,-999,-999,-999,-999,461.3
2011-01-21,"20110121",709.1,-999,-999,-999,-999,-999,-999,461.3
2011-01-22,"20110122",709,-999,-999,-999,-999,-999,-999,461.3
2011-01-23,"20110123",709,-999,-999,-999,-999,-999,-999,461.3
2011-01-24,"20110124",708.9,-999,-999,-999,-999,-999,-999,461.3
2011-01-25,"20110125",708.7,-999,-999,-999,-999,-999,-999,461.3
2011-01-26,"20110126",708.5,-999,-999,-999,-999,-999,-999,461.3
2011-01-27,"20110127",708.5,-999,-999,-999,-999,-999,-999,461.3
2011-01-28,"20110128",708.2,-999,-999,-999,-999,-999,-999,461.2
2011-01-29,"20110129",708,-999,-999,-999,-999,-999,-999,461.2
2011-01-30,"20110130",707.9,-999,-999,-999,-999,-999,-999,461.3
2011-01-31,"20110131",707.8,-999,-999,-999,-999,-999,-999,461.3
2011-02-01,"20110201",707.6,-999,-999,-999,-999,-999,-999,461.3
2011-02-02,"20110202",707.4,-999,-999,-999,-999,-999,-999,461.3
2011-02-03,"20110203",707.3,-999,-999,-999,-999,-999,-999,461.3
2011-02-04,"20110204",706.9,-999,-999,-999,-999,-999,-999,461.3
2011-02-05,"20110205",706.9,-999,-999,-999,-999,-999,-999,461.2
2011-02-06,"20110206",706.7,-999,-999,-999,-999,-999,-999,461.3
2011-02-07,"20110207",706.5,-999,-999,-999,-999,-999,-999,461.3
2011-02-08,"20110208",706,-999,-999,-999,-999,-999,-999,461.3
2011-02-09,"20110209",705.8,-999,-999,-999,-999,-999,-999,461.3
2011-02-10,"20110210",705.6,-999,-999,-999,-999,-999,-999,461.3
2011-02-11,"20110211",705.4,-999,-999,-999,-999,-999,-999,461.3
2011-02-12,"20110212",704.9,-999,-999,-999,-999,-999,-999,461.3
2011-02-13,"20110213",704.9,-999,-999,-999,-999,-999,-999,461.3
2011-02-14,"20110214",704.6,-999,-999,-999,-999,-999,-999,461.3
2011-02-15,"20110215",704.2,-999,-999,-999,-999,-999,-999,461.3
2011-02-16,"20110216",704.3,-999,-999,-999,-999,-999,-999,461.4
2011-02-17,"20110217",704.4,-999,-999,-999,-999,-999,-999,461.4
2011-02-18,"20110218",705.7,-999,-999,-999,-999,-999,-999,461.6
2011-02-19,"20110219",707.7,-999,-999,-999,-999,-999,-999,461.9
2011-02-20,"20110220",709.2,-999,-999,-999,-999,-999,-999,462.2
2011-02-21,"20110221",709.9,-999,-999,-999,-999,-999,-999,462.3
2011-02-22,"20110222",710,-999,-999,-999,-999,-999,-999,462.4
2011-02-23,"20110223",710.5,-999,-999,-999,-999,-999,-999,462.4
2011-02-24,"20110224",710.6,-999,-999,-999,-999,-999,-999,462.4
2011-02-25,"20110225",710.9,-999,-999,-999,-999,-999,-999,462.8
2011-02-26,"20110226",715.1,-999,-999,-999,-999,-999,-999,463.5
2011-02-27,"20110227",716.2,-999,-999,-999,-999,-999,-999,463.5
2011-02-28,"20110228",716.7,-999,-999,-999,-999,-999,-999,463.7
2011-03-01,"20110301",716.9,-999,-999,-999,-999,-999,-999,463.7
2011-03-02,"20110302",717,-999,-999,-999,-999,-999,-999,463.7
2011-03-03,"20110303",717.2,-999,203.9076,229.238181818182,-999,-999,-999,463.8
2011-03-04,"20110304",717.3,-999,204.053020833333,229.374270833333,-999,-999,-999,463.8
2011-03-05,"20110305",717.4,-999,204.321145833333,229.5509375,-999,-999,-999,463.8
2011-03-06,"20110306",717.4,-999,204.585416666667,229.698854166667,-999,-999,-999,463.9
2011-03-07,"20110307",717.4,-999,204.8409375,229.78375,-999,-999,-999,463.9
2011-03-08,"20110308",717.4,-999,205.080520833333,229.820729166667,-999,-999,-999,464
2011-03-09,"20110309",717.4,-999,205.306458333333,229.781458333333,-999,-999,-999,464
2011-03-10,"20110310",717.4,-999,205.538645833333,229.697395833333,-999,-999,-999,464
2011-03-11,"20110311",717.4,-999,205.734375,229.67875,-999,-999,-999,464.3
2011-03-12,"20110312",717.2,-999,205.9478125,229.715,-999,-999,-999,464.1
2011-03-13,"20110313",717.2,-999,206.152708333333,229.771145833333,-999,-999,-999,464.1
2011-03-14,"20110314",717.2,-999,206.3696875,229.799583333333,-999,-999,-999,464.1
2011-03-15,"20110315",717.1,-999,206.5921875,229.801354166667,-999,-999,-999,464.1
2011-03-16,"20110316",717,-999,206.833958333333,229.857708333333,-999,-999,-999,464.2
2011-03-17,"20110317",717.1,-999,207.13183908046,229.947386363636,-999,158.07375,257.508055555556,464.2
2011-03-18,"20110318",717.1,-999,207.5140625,229.991666666667,-999,158.3371875,257.537916666667,464.4
2011-03-19,"20110319",717.4,-999,207.957291666667,230.075625,-999,158.520208333333,257.9278125,464.7
2011-03-20,"20110320",719.2,-999,208.496458333333,230.803020833333,-999,158.837604166667,258.205416666667,465.3
2011-03-21,"20110321",722.9,-999,209.012708333333,231.346666666667,-999,159.187708333333,258.237083333333,466
2011-03-22,"20110322",724.1,-999,209.440208333333,231.280625,-999,159.476875,258.285729166667,466.6
2011-03-23,"20110323",724.8,-999,209.877604166667,231.204583333333,-999,159.8221875,258.4940625,466.9
2011-03-24,"20110324",727,-999,210.355833333333,231.473333333333,-999,160.413541666667,258.889583333333,467.5
2011-03-25,"20110325",731.1,-999,210.7965625,232.487916666667,-999,161.148333333333,259.9121875,469
2011-03-26,"20110326",732.4,-999,210.5309375,233.130208333333,-999,161.6490625,260.053854166667,469.1
2011-03-27,"20110327",732.9,-999,210.131145833333,233.500208333333,-999,162.066458333333,260.097395833333,469
2011-03-28,"20110328",732.6,-999,209.6940625,233.466979166667,-999,162.559166666667,260.039895833333,468.9
2011-03-29,"20110329",732,-999,209.2384375,233.2771875,-999,163.085208333333,259.965729166667,468.7
2011-03-30,"20110330",731,-999,208.769895833333,233.0646875,-999,163.619791666667,259.959166666667,468.6
2011-03-31,"20110331",730.6,-999,208.3028125,232.901458333333,-999,164.095625,259.818333333333,468.6
2011-04-01,"20110401",729.4,-999,207.937604166667,232.780625,-999,164.621666666667,259.4825,468.6
2011-04-02,"20110402",728.3,-999,207.523958333333,232.682083333333,-999,165.1484375,259.027916666667,468.5
2011-04-03,"20110403",727.35,-999,207.055729166667,232.587395833333,-999,165.552291666667,258.63375,468.4
2011-04-04,"20110404",726.4,-999,206.615208333333,232.439270833333,-999,165.886458333333,258.290208333333,468.4
2011-04-05,"20110405",725.4,-999,206.1728125,232.298854166667,-999,166.367291666667,258.15,468.4
2011-04-06,"20110406",724.7,-999,205.740833333333,232.22875,-999,166.798958333333,258.111458333333,468.4
2011-04-07,"20110407",723.6,-999,205.311145833333,232.1471875,-999,167.252083333333,258.2071875,468.3
2011-04-08,"20110408",723.4,-999,204.8921875,231.876041666667,-999,167.653541666667,258.105833333333,468.4
2011-04-09,"20110409",723,-999,204.492708333333,231.599270833333,-999,167.9709375,258.063854166667,468.4
2011-04-10,"20110410",722.8,-999,204.071666666667,231.4090625,-999,168.284479166667,258.083541666667,468.3
2011-04-11,"20110411",722.5,-999,203.639479166667,231.277395833333,-999,168.596041666667,258.032083333333,468.3
2011-04-12,"20110412",722.2,-999,203.239479166667,231.174583333333,-999,168.9190625,257.976666666667,468.3
2011-04-13,"20110413",721.9,-999,202.802291666667,231.075,-999,169.236041666667,258.244166666667,468.3
2011-04-14,"20110414",721.6,-999,201.838541666667,231.0275,-999,169.56125,258.266041666667,468.3
2011-04-15,"20110415",721.4,-999,200.630416666667,230.988125,-999,169.866458333333,258.30125,468.4
2011-04-16,"20110416",721.1,-999,199.419375,230.940625,-999,170.1553125,258.442604166667,468.4
2011-04-17,"20110417",720.8,-999,198.21,230.901041666667,-999,170.673020833333,258.461875,468.4
2011-04-18,"20110418",720.4,-999,196.9915625,230.778020833333,-999,171.218125,258.437291666667,468.1
2011-04-19,"20110419",720.2,-999,195.753333333333,230.58875,-999,171.7265625,258.296979166667,468.1
2011-04-20,"20110420",720,-999,194.498229166667,230.4590625,-999,172.211666666667,258.236666666667,468
2011-04-21,"20110421",719.8,-999,193.238125,230.358333333333,-999,172.570729166667,258.192604166667,467.9
2011-04-22,"20110422",719.5,-999,191.949270833333,230.291458333333,-999,173.011979166667,258.318333333333,467.9
2011-04-23,"20110423",719.3,-999,190.690104166667,230.225104166667,-999,173.4725,258.299895833333,467.9
2011-04-24,"20110424",719.1,-999,189.399479166667,230.177083333333,-999,173.92375,258.2796875,467.8
2011-04-25,"20110425",718.8,-999,188.1603125,230.1071875,-999,174.391979166667,258.193854166667,467.7
2011-04-26,"20110426",718.7,-999,186.88625,230.028854166667,-999,174.856770833333,258.0859375,467.6
2011-04-27,"20110427",718.4,-999,185.616875,230.182604166667,-999,175.293958333333,258.060833333333,467.5
2011-04-28,"20110428",718,-999,184.728181818182,230.4165625,-999,175.7015625,258.062395833333,467.3
2011-04-29,"20110429",717.9,-999,-999,230.331979166667,-999,176.1465625,258.01625,467.1
2011-04-30,"20110430",717.6,-999,-999,230.085208333333,-999,176.5146875,258.084791666667,466.9
2011-05-01,"20110501",717.4,-999,-999,229.904895833333,-999,176.747604166667,258.134583333333,466.7
2011-05-02,"20110502",717.1,-999,-999,229.802291666667,-999,176.944166666667,257.999895833333,466.6
2011-05-03,"20110503",716.9,-999,-999,229.706875,-999,177.138020833333,257.89375,466.3
2011-05-04,"20110504",716.5,-999,181.436666666667,229.6340625,247.584545454545,177.239166666667,257.889166666667,466
2011-05-05,"20110505",716.3,-999,181.853541666667,229.562708333333,247.664166666667,177.198125,257.845625,465.8
2011-05-06,"20110506",716.1,-999,182.435104166667,229.484583333333,247.5196875,176.79125,257.903125,465.7
2011-05-07,"20110507",715.9,-999,183.003541666667,229.345,247.578125,176.505729166667,257.975416666667,465.3
2011-05-08,"20110508",715.7,-999,183.549791666667,229.191458333333,247.832708333333,176.424166666667,258.0171875,465.2
2011-05-09,"20110509",715.5,-999,184.120104166667,229.095104166667,247.8428125,176.306979166667,257.931458333333,465
2011-05-10,"20110510",715.4,-999,184.672708333333,228.964270833333,247.660208333333,176.391770833333,257.883541666667,464.7
2011-05-11,"20110511",715.4,-999,185.2071875,228.792604166667,247.456666666667,176.488854166667,257.776875,464.4
2011-05-12,"20110512",715.3,-999,185.732395833333,228.6053125,247.358958333333,176.5809375,257.646145833333,464.2
2011-05-13,"20110513",715.2,-999,186.273125,228.456979166667,247.316770833333,176.554583333333,257.6134375,464
2011-05-14,"20110514",715,-999,186.8009375,228.301458333333,247.332708333333,176.486875,257.662083333333,463.7
2011-05-15,"20110515",715,-999,187.357395833333,228.202916666667,247.82875,176.153854166667,257.719583333333,463.4
2011-05-16,"20110516",714.9,-999,187.895625,228.177604166667,248.066041666667,175.714270833333,257.634791666667,463.3
2011-05-17,"20110517",715,-999,188.443541666667,228.147604166667,248.165,175.135208333333,257.741041666667,463.1
2011-05-18,"20110518",714.9,-999,188.991041666667,228.087083333333,248.192291666667,174.590729166667,257.802604166667,463
2011-05-19,"20110519",714.9,-999,189.5059375,228.0459375,248.448645833333,173.640625,257.818333333333,462.9
2011-05-20,"20110520",714.8,-999,190.007708333333,228.0290625,248.749270833333,172.493333333333,257.817291666667,462.8
2011-05-21,"20110521",714.8,-999,190.5275,228.029375,248.859895833333,171.3,257.821458333333,462.6
2011-05-22,"20110522",714.7,-999,191.0190625,228.03,249.002708333333,170.007083333333,257.778541666667,462.4
2011-05-23,"20110523",714.6,-999,191.516979166667,227.976458333333,248.791458333333,168.923645833333,257.767916666667,462.3
2011-05-24,"20110524",714.6,-999,192.043541666667,227.879270833333,248.74,167.750729166667,257.742916666667,462.2
2011-05-25,"20110525",714.5,-999,192.540520833333,227.767604166667,248.838125,166.454270833333,257.7278125,462
2011-05-26,"20110526",714.5,-999,193.0721875,227.674166666667,248.830520833333,165.104479166667,257.706041666667,461.7
2011-05-27,"20110527",714.5,-999,193.548541666667,227.578020833333,248.839375,163.76125,257.612083333333,461.5
2011-05-28,"20110528",714.5,-999,194.0171875,227.5125,248.986666666667,162.185,257.550416666667,461.4
2011-05-29,"20110529",714.6,-999,194.494895833333,227.444895833333,249.0496875,160.6440625,257.5725,461.1
2011-05-30,"20110530",714.6,-999,194.973645833333,227.385729166667,249.05375,159.030625,257.571875,460.8
2011-05-31,"20110531",714.6,-999,195.424895833333,227.282395833333,248.961666666667,157.349583333333,257.521666666667,460.7
2011-06-01,"20110601",714.7,-999,195.891041666667,227.164479166667,248.843333333333,155.757083333333,257.587604166667,460.4
2011-06-02,"20110602",714.7,-999,196.356145833333,227.049270833333,248.787083333333,154.245625,257.6,460.2
2011-06-03,"20110603",714.7,-999,196.808020833333,227.018020833333,248.590729166667,152.9721875,257.556979166667,460
2011-06-04,"20110604",714.8,-999,197.305416666667,227.7175,248.624375,151.641666666667,257.593229166667,460
2011-06-05,"20110605",714.8,-999,197.773541666667,228.293541666667,248.590520833333,150.42,257.635104166667,459.8
2011-06-06,"20110606",714.9,-999,198.235,228.5784375,248.514791666667,149.0709375,257.621458333333,459.8
2011-06-07,"20110607",714.8,-999,198.707083333333,228.768854166667,248.4021875,147.912291666667,257.5846875,460
2011-06-08,"20110608",714.5,-999,199.148333333333,228.8590625,248.1590625,147.2309375,257.506145833333,460
2011-06-09,"20110609",714.3,-999,199.596666666667,228.92,248.3796875,145.8196875,257.4425,460.7
2011-06-10,"20110610",714.1,-999,200.061145833333,228.9728125,248.288958333333,144.670729166667,257.508541666667,460.9
2011-06-11,"20110611",713.8,-999,200.455520833333,228.9915625,248.433020833333,143.195,257.56,461.2
2011-06-12,"20110612",713.6,-999,200.711041666667,229.022916666667,248.662916666667,141.1003125,257.518333333333,461.4
2011-06-13,"20110613",713.3,-999,201.156770833333,229.0065625,248.5309375,139.222083333333,257.40625,461.7
2011-06-14,"20110614",713,-999,201.6153125,228.962916666667,248.001875,138.260729166667,257.456979166667,462
2011-06-15,"20110615",712.7,-999,202.076979166667,228.8090625,247.546145833333,137.9940625,257.430729166667,462.3
2011-06-16,"20110616",712.5,-999,202.5190625,228.571354166667,247.617291666667,136.865833333333,257.277291666667,462.4
2011-06-17,"20110617",712.1,-999,202.9584375,228.413229166667,247.552708333333,135.743020833333,257.3825,462.7
2011-06-18,"20110618",711.8,-999,203.3840625,228.349583333333,247.578229166667,134.579270833333,257.385,462.8
2011-06-19,"20110619",711.3,-999,203.816145833333,228.35375,247.7521875,133.428645833333,257.3690625,463.2
2011-06-20,"20110620",711.1,-999,204.2575,228.403854166667,247.760208333333,132.100729166667,257.2875,463.4
2011-06-21,"20110621",710.8,-999,204.661875,228.381875,247.359270833333,131.726979166667,257.261354166667,463.7
2011-06-22,"20110622",710.6,-999,205.063333333333,228.314895833333,247.0796875,131.593854166667,257.1115625,463.9
2011-06-23,"20110623",710.3,-999,205.466145833333,228.151979166667,246.792395833333,131.299270833333,257.059166666667,464.1
2011-06-24,"20110624",710.1,-999,205.8575,227.334479166667,246.679270833333,130.968854166667,257.054583333333,464.3
2011-06-25,"20110625",709.9,-999,206.223958333333,226.656666666667,246.617604166667,130.6959375,256.958125,464.5
2011-06-26,"20110626",709.6,-999,206.5578125,226.1815625,246.682604166667,130.467083333333,256.928020833333,464.6
2011-06-27,"20110627",709.3,-999,206.895520833333,225.81375,246.6446875,130.182083333333,256.796041666667,464.8
2011-06-28,"20110628",708.9,-999,207.2290625,225.5171875,246.4453125,130.070104166667,256.738333333333,465.1
2011-06-29,"20110629",708.7,-999,207.565520833333,225.3103125,246.343854166667,130.1984375,256.8390625,465.4
2011-06-30,"20110630",708.4,-999,207.850729166667,225.132291666667,246.153020833333,129.871145833333,256.83625,465.6
2011-07-01,"20110701",708.1,-999,208.1165625,224.94875,246.093854166667,129.629661016949,256.942083333333,465.8
2011-07-02,"20110702",707.8,-999,208.361770833333,224.785729166667,246.136145833333,-999,256.930208333333,466.2
2011-07-03,"20110703",707.9,-999,208.606875,224.686041666667,246.292395833333,-999,256.895625,466.4
2011-07-04,"20110704",707.2,-999,208.822395833333,224.54375,246.426979166667,-999,256.850208333333,466.6
2011-07-05,"20110705",706.7,-999,209.017916666667,224.452604166667,246.4078125,-999,256.746145833333,466.8
2011-07-06,"20110706",706.4,-999,209.205208333333,224.328333333333,246.292604166667,-999,256.579270833333,467
2011-07-07,"20110707",706.2,-999,209.3534375,224.2203125,246.155416666667,-999,256.360416666667,467.2
2011-07-08,"20110708",705.9,-999,209.503333333333,224.119375,246.015104166667,-999,256.381875,467.5
2011-07-09,"20110709",705.8,-999,209.64375,224.070416666667,245.891666666667,-999,256.588854166667,467.5
2011-07-10,"20110710",705.6,-999,209.777291666667,224.007916666667,245.966354166667,-999,256.586770833333,467.5
2011-07-11,"20110711",705.5,-999,209.870104166667,223.95,245.932708333333,-999,256.403020833333,467.4
2011-07-12,"20110712",705.2,-999,209.981041666667,223.887395833333,245.748541666667,-999,256.338958333333,467.3
2011-07-13,"20110713",705.1,-999,210.087604166667,223.802708333333,245.588333333333,-999,256.4346875,467.2
2011-07-14,"20110714",705.1,-999,209.996145833333,223.759166666667,245.364791666667,-999,256.548229166667,467.2
2011-07-15,"20110715",704.9,-999,209.2409375,223.736354166667,245.177916666667,-999,256.663333333333,467.3
2011-07-16,"20110716",704.8,-999,208.4590625,223.752083333333,245.099895833333,-999,257.012395833333,467.2
2011-07-17,"20110717",704.6,-999,207.711145833333,223.803020833333,245.269583333333,-999,257.41875,467.2
2011-07-18,"20110718",704.6,-999,206.9703125,223.806458333333,245.305416666667,-999,257.559791666667,467.2
2011-07-19,"20110719",704.2,-999,206.244895833333,223.806041666667,245.15625,-999,257.540833333333,467.1
2011-07-20,"20110720",704.2,-999,205.518958333333,223.795,245.0815625,-999,257.569270833333,467.1
2011-07-21,"20110721",704.3,-999,205.042708333333,223.786354166667,244.9184375,-999,257.7303125,467.1
2011-07-22,"20110722",704.2,-999,205.273958333333,223.73875,244.797604166667,-999,257.953958333333,467.2
2011-07-23,"20110723",704.1,-999,205.5628125,223.654479166667,244.7975,-999,258.354270833333,467.1
2011-07-24,"20110724",704,-999,205.836354166667,223.582916666667,244.953854166667,-999,258.7790625,467.1
2011-07-25,"20110725",703.9,-999,206.0953125,223.4965625,244.996770833333,-999,258.9646875,467
2011-07-26,"20110726",703.9,-999,206.340520833333,223.400520833333,244.870729166667,-999,259.009375,467
2011-07-27,"20110727",703.9,-999,206.57,223.3134375,244.716458333333,-999,259.076875,466.9
2011-07-28,"20110728",703.9,-999,206.72375,223.2659375,244.356666666667,-999,258.897916666667,466.8
2011-07-29,"20110729",703.9,-999,206.140520833333,223.249583333333,243.8434375,-999,258.788645833333,466.8
2011-07-30,"20110730",703.8,-999,205.418229166667,223.250833333333,243.342083333333,-999,258.746666666667,466.6
2011-07-31,"20110731",703.8,-999,204.721770833333,223.238333333333,242.824479166667,-999,258.734895833333,466.7
2011-08-01,"20110801",703.8,-999,204.041041666667,223.169791666667,242.334791666667,-999,258.628229166667,466.6
2011-08-02,"20110802",703.6,-999,203.343541666667,223.074166666667,241.7503125,-999,258.3625,466.5
2011-08-03,"20110803",703.6,-999,202.675833333333,222.9028125,241.593854166667,-999,257.960208333333,466.4
2011-08-04,"20110804",703.8,-999,202.013125,222.765104166667,241.526041666667,-999,257.648854166667,466.3
2011-08-05,"20110805",703.4,-999,201.353854166667,222.631875,241.385729166667,-999,257.2875,466.3
